id,x,y,z,timestamp
238,0.55,0.06,-0.24,2025-09-26T18:29:41.987118
239,0.49,0.06,-0.24,2025-09-26T18:29:41.989420
240,0.49,0.12,-0.18,2025-09-26T18:29:42.292102
241,0.55,0.12,-0.24,2025-09-26T18:29:42.645799
242,0.43,0.18,-0.24,2025-09-26T18:29:42.648748
243,0.55,0.12,-0.24,2025-09-26T18:29:42.904477
244,0.49,0.12,-0.24,2025-09-26T18:29:43.362813
245,0.49,0.12,-0.24,2025-09-26T18:29:43.646005
246,0.55,0.06,-0.24,2025-09-26T18:29:43.653403
247,0.55,0.12,-0.24,2025-09-26T18:29:43.837915
248,0.55,0.06,-0.24,2025-09-26T18:29:43.840322
249,0.55,0.06,-0.24,2025-09-26T18:29:44.190183
250,0.55,0.12,-0.24,2025-09-26T18:29:44.491187
251,0.55,0.12,-0.24,2025-09-26T18:29:44.493509
252,0.55,0.12,-0.24,2025-09-26T18:29:44.796224
253,0.55,0.12,-0.24,2025-09-26T18:29:45.055835
254,0.49,0.12,-0.24,2025-09-26T18:29:45.061162
255,0.55,0.06,-0.24,2025-09-26T18:29:45.360815
256,0.55,0.06,-0.24,2025-09-26T18:29:45.670253
257,0.55,0.06,-0.24,2025-09-26T18:29:45.676116
258,0.55,0.12,-0.24,2025-09-26T18:29:46.028533
259,0.55,0.06,-0.24,2025-09-26T18:29:46.333927
260,0.49,0.12,-0.24,2025-09-26T18:29:46.366101
261,0.55,0.06,-0.24,2025-09-26T18:29:46.641791
262,0.55,0.06,-0.24,2025-09-26T18:29:46.947093
263,0.55,0.12,-0.24,2025-09-26T18:29:46.950166
264,0.55,0.12,-0.24,2025-09-26T18:29:47.254421
265,0.49,0.12,-0.24,2025-09-26T18:29:47.563562
266,0.55,0.12,-0.24,2025-09-26T18:29:47.567824
267,0.55,0.06,-0.24,2025-09-26T18:29:47.870967
268,0.55,0.06,-0.24,2025-09-26T18:29:47.873793
269,0.49,0.12,-0.24,2025-09-26T18:29:48.176600
270,0.55,0.12,-0.24,2025-09-26T18:29:48.482772
271,0.55,0.12,-0.24,2025-09-26T18:29:48.749009
272,0.55,0.06,-0.24,2025-09-26T18:29:48.751762
273,0.55,0.12,-0.24,2025-09-26T18:29:49.099047
274,0.55,0.12,-0.24,2025-09-26T18:29:49.101816
275,0.55,0.06,-0.18,2025-09-26T18:29:49.407170
276,0.55,0.12,-0.24,2025-09-26T18:29:49.661729
277,0.55,0.12,-0.24,2025-09-26T18:29:49.975693
278,0.55,0.06,-0.18,2025-09-26T18:29:49.981236
279,0.55,0.12,-0.31,2025-09-26T18:29:50.327435
280,0.55,0.12,-0.24,2025-09-26T18:29:50.584532
281,0.55,0.12,-0.24,2025-09-26T18:29:50.586235
282,0.55,0.06,-0.24,2025-09-26T18:29:50.890883
283,0.49,0.12,-0.24,2025-09-26T18:29:51.253141
