x,y,z,timestamp
0.55,0.06,-0.24,2025-09-26 16:58:15.900
0.55,0.12,-0.24,2025-09-26 16:58:16.286
0.49,0.12,-0.18,2025-09-26 16:58:16.390
0.55,0.12,-0.24,2025-09-26 16:58:16.639
0.55,0.12,-0.24,2025-09-26 16:58:16.697
0.55,0.12,-0.24,2025-09-26 16:58:16.884
0.49,0.06,-0.24,2025-09-26 16:58:17.291
0.55,0.12,-0.24,2025-09-26 16:58:17.344
0.61,0.06,-0.24,2025-09-26 16:58:17.686
0.61,0.06,-0.24,2025-09-26 16:58:17.833
0.55,0.12,-0.24,2025-09-26 16:58:18.040
0.55,0.12,-0.24,2025-09-26 16:58:18.340
0.55,0.12,-0.24,2025-09-26 16:58:18.390
0.55,0.12,-0.24,2025-09-26 16:58:18.687
0.49,0.12,-0.24,2025-09-26 16:58:18.740
0.55,0.12,-0.24,2025-09-26 16:58:19.037
0.55,0.12,-0.24,2025-09-26 16:58:19.534
0.61,0.12,-0.24,2025-09-26 16:58:19.595
0.55,0.06,-0.24,2025-09-26 16:58:19.702
0.55,0.12,-0.24,2025-09-26 16:58:19.851
0.55,0.12,-0.24,2025-09-26 16:58:20.044
0.55,0.12,-0.24,2025-09-26 16:58:20.437
0.55,0.06,-0.24,2025-09-26 16:58:20.501
0.55,0.06,-0.24,2025-09-26 16:58:20.693
0.55,0.06,-0.24,2025-09-26 16:58:20.739
0.55,0.12,-0.24,2025-09-26 16:58:21.034
0.55,0.06,-0.24,2025-09-26 16:58:21.333
0.49,0.12,-0.24,2025-09-26 16:58:21.384
0.55,0.12,-0.24,2025-09-26 16:58:21.584
0.55,0.06,-0.24,2025-09-26 16:58:21.933
0.61,0.12,-0.24,2025-09-26 16:58:21.984
0.55,0.12,-0.18,2025-09-26 16:58:22.196
0.55,0.12,-0.24,2025-09-26 16:58:22.583
0.55,0.12,-0.24,2025-09-26 16:58:22.635
0.55,0.12,-0.24,2025-09-26 16:58:22.838
0.49,0.12,-0.18,2025-09-26 16:58:23.144
0.55,0.12,-0.24,2025-09-26 16:58:23.197
0.49,0.12,-0.24,2025-09-26 16:58:23.549
0.55,0.06,-0.24,2025-09-26 16:58:23.799
0.49,0.12,-0.24,2025-09-26 16:58:23.840
0.49,0.12,-0.24,2025-09-26 16:58:24.086
0.49,0.12,-0.24,2025-09-26 16:58:24.443
0.49,0.12,-0.24,2025-09-26 16:58:28.342
